City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
483,san rafael,-34.6177,-68.3301,17.87,31,45,3.99,AR,1680119575
484,lakes entrance,-37.8811,147.981,13.42,74,97,8.64,AU,1680119576
485,mount gambier,-37.8333,140.7667,10.61,92,35,1.73,AU,1680119576
486,port macquarie,-31.4333,152.9167,16.61,81,0,2.19,AU,1680119576
487,winnemucca,40.973,-117.7357,2.03,75,99,0.0,US,1680119423
488,saryozek,44.3583,77.9753,11.76,45,100,2.18,KZ,1680119577
489,bull savanna,17.8868,-77.5902,27.42,62,3,6.36,JM,1680119577
490,arnstadt,50.8333,10.95,11.28,75,0,4.12,DE,1680119578
491,fort nelson,58.8053,-122.7002,0.53,75,75,3.09,CA,1680119578
492,sitka,57.0531,-135.33,4.94,65,0,7.2,US,1680119578
493,karema,-6.8205,30.4389,21.78,87,86,1.12,TZ,1680119578
494,kenora,49.8167,-94.4337,-4.46,42,20,7.2,CA,1680119579
495,birin,26.8865,88.0718,12.96,36,13,2.74,NP,1680119579
496,slonim,53.0867,25.3219,-1.8,64,0,2.15,BY,1680119579
497,mercedes,-34.6515,-59.4307,23.81,63,44,4.4,AR,1680119579
498,riviere-au-renard,48.9957,-64.3971,0.16,89,73,1.59,CA,1680119580
499,dunedin,-45.8742,170.5036,8.22,80,62,2.96,NZ,1680119580
500,valparaiso,-33.0393,-71.6273,28.13,43,0,7.72,CL,1680119581
501,lumphat,13.4878,106.9816,24.57,85,99,1.3,KH,1680119581
502,kokkola,63.8385,23.1307,-9.91,92,0,1.54,FI,1680119552
503,mackenzie,55.2999,-123.1698,2.12,41,40,1.03,CA,1680119582
504,vestmannaeyjar,63.4427,-20.2734,4.83,84,100,13.87,IS,1680119583
505,abay,49.6311,72.8539,-2.79,77,7,3.7,KZ,1680119338
506,padang,-0.9492,100.3543,24.97,88,89,0.47,ID,1680119584
507,sabang,5.8933,95.3214,28.02,73,4,3.63,ID,1680119584
508,ati,13.2154,18.3353,32.87,17,100,2.26,TD,1680119584
509,kommunar,59.6206,30.39,-3.26,92,100,4.22,RU,1680119585
510,volksrust,-27.3654,29.8818,12.7,75,48,0.71,ZA,1680119585
511,gamboma,-1.8764,15.8644,22.36,93,34,1.78,CG,1680119586
512,samarai,-10.6167,150.6667,27.75,74,11,2.31,PG,1680119586
513,kirakira,-10.4544,161.9205,26.3,84,100,1.68,SB,1680119587
514,alto araguaia,-17.3147,-53.2153,27.82,64,8,2.73,BR,1680119587
515,bonfim,3.0833,-59.95,35.21,32,84,2.59,BR,1680119588
516,ixtapa,20.7,-105.2,31.14,32,89,4.14,MX,1680119588
517,catamarca,-28.4696,-65.7852,33.56,47,7,1.34,AR,1680119448
518,manama,26.2154,50.5832,23.29,58,0,4.12,BH,1680119313
519,gladstone,-23.85,151.25,22.96,83,75,2.06,AU,1680119589
520,samandag,36.0842,35.9771,12.96,61,20,7.48,TR,1680119589
521,atambua,-9.1061,124.8925,22.43,87,100,1.43,ID,1680119590
522,balabac,7.9868,117.0645,26.72,82,59,3.62,PH,1680119590
523,lazaro cardenas,17.9583,-102.2,30.04,44,95,4.95,MX,1680119590
524,maniitsoq,65.4167,-52.9,-7.09,73,5,2.95,GL,1680119591
525,acari,-15.4311,-74.6158,28.11,63,67,4.58,PE,1680119591
526,uddevalla,58.3478,11.9424,-0.01,85,96,0.89,SE,1680119591
527,makakilo city,21.3469,-158.0858,24.69,82,100,3.6,US,1680119592
528,chaozhou,23.6651,116.6379,16.92,90,100,1.26,CN,1680119593
529,tivaouane,14.9515,-16.8129,25.19,71,0,5.86,SN,1680119593
530,neryungri,56.6709,124.6491,-21.49,100,34,1.47,RU,1680119594
531,hualmay,-11.0964,-77.6139,26.73,68,84,4.64,PE,1680119594
532,opuwo,-18.0607,13.84,22.62,68,98,2.29,NA,1680119594
533,borogontsy,62.6683,131.1683,-13.02,96,100,1.9,RU,1680119594
534,teahupoo,-17.8333,-149.2667,27.98,78,93,3.29,PF,1680119595
535,lokosovo,61.1333,74.8167,-7.05,89,99,5.69,RU,1680119595
536,sioux lookout,50.1001,-91.917,-5.96,38,20,5.66,CA,1680119595
537,moron,-34.6534,-58.6198,24.83,57,69,4.07,AR,1680119596
538,bontang,0.1333,117.5,25.29,87,100,1.37,ID,1680119596
539,san policarpo,12.1791,125.5072,26.38,81,100,3.76,PH,1680119596
540,talisay,10.2447,123.8494,27.01,89,75,4.12,PH,1680119597
541,twin falls,42.3505,-114.6445,2.18,74,100,4.54,US,1680119597
542,dharchula,29.85,80.5333,14.53,44,100,2.83,IN,1680119597
543,lewistown,40.5992,-77.5714,13.47,63,20,5.14,US,1680119598
544,betioky,-23.7167,44.3833,20.48,75,0,0.56,MG,1680119598
545,palora,-1.7,-77.9333,24.06,81,93,0.49,EC,1680119598
546,khorramshahr,30.4397,48.1664,21.98,64,0,1.03,IR,1680119599
547,kinna,57.5073,12.6946,0.97,96,89,1.78,SE,1680119599
548,raudeberg,61.9875,5.1352,2.37,66,19,2.79,NO,1680119599
549,naze,28.3667,129.4833,16.51,86,100,7.67,JP,1680119600
550,balkhash,46.844,74.9804,5.21,64,35,4.79,KZ,1680119600
551,kibaya,-5.3,36.5667,15.74,91,100,1.01,TZ,1680119600
552,dumbrava,44.8833,26.1833,4.81,53,2,1.34,RO,1680119600
553,galesong,-5.3166,119.3661,24.01,82,70,1.03,ID,1680119601
554,brae,60.3964,-1.353,6.22,93,100,12.69,GB,1680119601
555,yakeshi,49.2833,120.7333,-6.8,91,24,1.9,CN,1680119601
556,beziers,43.3476,3.219,13.71,82,100,5.14,FR,1680119602
557,havelock,34.8791,-76.9013,15.53,60,75,7.2,US,1680119442
558,duldurga,50.6761,113.5931,1.94,82,23,2.42,RU,1680119602
559,hobyo,5.3505,48.5268,27.74,74,18,4.04,SO,1680119603
560,qaqortoq,60.7167,-46.0333,-3.45,79,17,0.37,GL,1680119603
561,starobaltachevo,56.0013,55.9213,-0.25,75,14,4.86,RU,1680119604
562,kunming,25.0389,102.7183,6.96,87,0,3.0,CN,1680119604
563,kibala,9.1104,18.3463,32.97,29,0,1.54,TD,1680119604
564,perth,-31.9333,115.8333,22.04,48,0,7.72,AU,1680119473
565,ambulu,-8.345,113.6058,24.46,90,62,1.06,ID,1680119605
566,porto velho,-8.7619,-63.9039,33.03,55,40,1.03,BR,1680119444
567,andenes,69.3143,16.1194,-3.01,80,75,2.06,NO,1680119605
568,kropotkin,45.4375,40.5756,2.22,99,100,5.1,RU,1680119605
569,terney,45.0503,136.6092,2.18,71,21,1.97,RU,1680119606
570,khasan,42.4308,130.6434,3.52,81,13,1.11,RU,1680119606
571,ondangwa,-17.9167,15.95,27.59,44,95,1.64,NA,1680119606
572,gilgit,35.9221,74.3087,11.85,56,100,1.12,PK,1680119607
573,ayagoz,47.9714,80.4392,1.19,76,16,1.23,KZ,1680119607
574,homer,59.6425,-151.5483,2.8,75,100,1.61,US,1680119608
575,apache junction,33.4151,-111.5496,26.58,14,0,3.58,US,1680119608
576,pedasi,7.5333,-80.0333,29.07,61,3,5.89,PA,1680119609
577,tonstad,58.6626,6.7169,1.78,92,100,3.55,NO,1680119609
578,vardo,70.3705,31.1107,-1.01,100,100,15.43,NO,1680119609
579,jining,35.405,116.5814,9.67,82,91,3.16,CN,1680119610
